ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
10732	TCFL5	3.2553	0.0049
25803	SPDEF	2.194	0.005
10206	TRIM13	2.0081	0.0084
9016	SLC25A14	1.8717	0.0101
8996	NOL3	1.6241	0.0159
10329	TMEM5	1.9618	0.0165
54386	TERF2IP	1.52	0.0165
51071	DERA	1.4061	0.0184
5440	POLR2K	1.5088	0.0199
26136	TES	1.4475	0.021
2195	FAT1	1.4869	0.0217
63933	MCUR1	2.0599	0.0229
1001	CDH3	1.8342	0.0234
466	ATF1	1.316	0.0241
6850	SYK	1.2844	0.0272
54438	GFOD1	1.4981	0.0284
39	ACAT2	1.2664	0.0284
4312	MMP1	1.5044	0.0285
11073	TOPBP1	1.3031	0.0289
6622	SNCA	1.4315	0.0302
80746	TSEN2	1.5907	0.0303
3815	KIT	1.5039	0.0306
10668	CGRRF1	1.3297	0.032
7015	TERT	1.3666	0.0352
8050	PDHX	1.2293	0.0354
10190	TXNDC9	1.3416	0.0372
596	BCL2	1.303	0.0419
6944	VPS72	1.2617	0.0425
57406	ABHD6	1.1665	0.0428
11065	UBE2C	1.1009	0.043
1399	CRKL	1.204	0.0435
23585	TMEM50A	1.2211	0.044
55893	ZNF395	1.147	0.0446
10818	FRS2	1.1464	0.0449
25793	FBXO7	2.1378	0.0451
5467	PPARD	1.0978	0.0467
2769	GNA15	1.0898	0.048
9833	MELK	1.2341	0.0505
2625	GATA3	1.0262	0.0526
27244	SESN1	1.1972	0.0559
8900	CCNA1	1.4561	0.0573
8503	PIK3R3	1.0448	0.059
3551	IKBKB	2.4861	0.0594
4144	MAT2A	1.2937	0.0606
2534	FYN	1.0457	0.0618
55746	NUP133	1.3742	0.062
9641	IKBKE	1.4396	0.0632
4776	NFATC4	1.3383	0.0657
6500	SKP1	1.0103	0.0674
2042	EPHA3	2.0081	0.0675
5880	RAC2	1.144	0.0703
2961	GTF2E2	0.9996	0.0706
8821	INPP4B	1.4733	0.0712
10434	LYPLA1	1.0379	0.0715
4331	MNAT1	0.9928	0.072
1647	GADD45A	1.292	0.0736
5900	RALGDS	1.7301	0.0744
2185	PTK2B	1.2243	0.0752
79174	CRELD2	1.4217	0.0754
9847	C2CD5	1.1622	0.0766
23386	NUDCD3	0.9756	0.0772
79071	ELOVL6	1.2005	0.078
7750	ZMYM2	1.3159	0.0816
55008	HERC6	0.934	0.0825
26036	ZNF451	0.9617	0.0831
1633	DCK	1.3421	0.0846
10165	SLC25A13	2.308	0.085
727	C5	1.633	0.086
64429	ZDHHC6	0.8964	0.0868
55179	FAIM	1.9281	0.0924
9897	KIAA0196	1.0198	0.0929
1029	CDKN2A	0.8775	0.0952
5716	PSMD10	1.4104	0.0964
79961	DENND2D	0.8813	0.0981
902	CCNH	1.0191	0.103
4794	NFKBIE	0.9187	0.1034
10451	VAV3	0.9056	0.1054
55825	PECR	1.2112	0.1063
55620	STAP2	1.0053	0.1122
9455	HOMER2	1.2129	0.1125
57149	LYRM1	1.2464	0.1128
4067	LYN	1.2154	0.1208
10644	IGF2BP2	0.9429	0.1229
3553	IL1B	1.2406	0.1234
983	CDK1	0.9939	0.1251
2886	GRB7	1.0029	0.1258
1052	CEBPD	0.8751	0.1305
128	ADH5	0.911	0.1335
9710	KIAA0355	1.2452	0.1383
55111	PLEKHJ1	1.2268	0.1418
10007	GNPDA1	0.8954	0.142
51160	VPS28	1.2399	0.1444
6616	SNAP25	1.0268	0.1448
5366	PMAIP1	1.3028	0.1453
5889	RAD51C	1.7609	0.146
3800	KIF5C	0.9837	0.1469
10398	MYL9	0.9862	0.1473
5588	PRKCQ	0.9928	0.1511
51053	GMNN	0.8613	0.15310000000000001
9842	PLEKHM1	0.8652	0.1536
1981	EIF4G1	1.3976	0.156
3454	IFNAR1	1.4657	0.1572
5289	PIK3C3	1.3323	0.1573
5290	PIK3CA	0.97	0.1616
55556	ENOSF1	1.1431	0.1624
10969	EBNA1BP2	0.8802	0.1725
25	ABL1	1.2677	0.1734
7376	NR1H2	1.0262	0.1797
85236	HIST1H2BK	1.4417	0.18
22809	ATF5	1.0068	0.1836
8804	CREG1	1.6386	0.1872
4925	NUCB2	1.2833	0.1955
1277	COL1A1	1.4294	0.1957
1829	DSG2	0.9577	0.196
57215	THAP11	0.9091	0.2053
3383	ICAM1	1.1342	0.2067
2852	GPER1	0.9366	0.2112
3988	LIPA	1.7027	0.2161
64781	CERK	0.8719	0.2309
10695	CNPY3	0.9778	0.2329
1429	CRYZ	0.9544	0.2409
7466	WFS1	1.027	0.2485
958	CD40	0.999	0.257
899	CCNF	1.8743	0.2572
55011	PIH1D1	1.4173	0.2576
10845	CLPX	0.9023	0.2605
823	CAPN1	1.464	0.2842
6988	TCTA	2.8353	0.2866
23368	PPP1R13B	1.0914	0.2887
64422	ATG3	0.8806	0.2954
6342	SCP2	2.4182	0.3037
5743	PTGS2	1.1827	0.3332
23522	KAT6B	0.9425	0.3454
79643	CHMP6	1.7191	0.3525
51097	SCCPDH	1.2942	0.3638
1021	CDK6	1.931	0.4284
7690	ZNF131	0.9013	0.4651
2817	GPC1	-1.947	0.0055
10174	SORBS3	-2.4478	0.0067
5580	PRKCD	-1.9361	0.007
6709	SPTAN1	-2.3809	0.0079
1509	CTSD	-3.3849	0.0087
51495	HACD3	-1.7214	0.0092
4605	MYBL2	-1.731	0.0095
26020	LRP10	-1.8627	0.0097
23131	GPATCH8	-1.8391	0.0108
16	AARS	-1.9378	0.0108
7074	TIAM1	-1.9617	0.0109
1212	CLTB	-2.9007	0.0115
54957	TXNL4B	-2.2302	0.0145
79094	CHAC1	-1.5283	0.0158
1958	EGR1	-1.5649	0.0162
9448	MAP4K4	-2.8112	0.0174
51005	AMDHD2	-1.4482	0.0203
7048	TGFBR2	-1.6558	0.0207
9926	LPGAT1	-1.4469	0.0219
4125	MAN2B1	-2.3268	0.0221
4791	NFKB2	-1.352	0.0229
9261	MAPKAPK2	-1.5244	0.0238
29911	HOOK2	-1.6648	0.0242
2017	CTTN	-1.8415	0.0252
2274	FHL2	-1.5427	0.0256
5058	PAK1	-1.2794	0.0266
11261	CHP1	-1.4293	0.0296
8061	FOSL1	-1.8394	0.0315
8508	NIPSNAP1	-1.5763	0.0347
10681	GNB5	-1.1697	0.0365
56654	NPDC1	-1.698	0.0384
8324	FZD7	-1.2303	0.0413
2673	GFPT1	-1.8824	0.0415
1398	CRK	-1.5234	0.0418
5971	RELB	-1.2613	0.042
644	BLVRA	-1.2082	0.042
11031	RAB31	-1.2909	0.043
9703	KIAA0100	-2.0319	0.0431
9903	KLHL21	-1.0731	0.0446
3028	HSD17B10	-1.2179	0.0448
1026	CDKN1A	-2.179	0.0453
6050	RNH1	-1.2991	0.0471
1050	CEBPA	-1.2973	0.0512
55604	LRRC16A	-1.053	0.0525
9217	VAPB	-1.7886	0.0547
6599	SMARCC1	-1.5016	0.0555
2908	NR3C1	-1.1303	0.0562
79073	TMEM109	-1.0728	0.0578
8396	PIP4K2B	-1.9691	0.058
642	BLMH	-2.0382	0.0583
11344	TWF2	-1.3296	0.059
965	CD58	-1.0345	0.0602
2109	ETFB	-1.372	0.0603
1445	CSK	-1.3278	0.0609
30	ACAA1	-1.1569	0.0621
3303	HSPA1A	-2.6685	0.0624
10493	VAT1	-1.8219	0.0632
