signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_203385	NA	54541	DDIT4	-1.9877	0.0046
LINCSCP_203385	NA	3486	IGFBP3	-1.6282	0.0047
LINCSCP_203385	NA	64080	RBKS	-2.119	0.0068
LINCSCP_203385	NA	5290	PIK3CA	1.5839	0.0074
LINCSCP_203385	NA	10058	ABCB6	-1.5365	0.0076
LINCSCP_203385	NA	5627	PROS1	-1.4295	0.0081
LINCSCP_203385	NA	8851	CDK5R1	-1.6912	0.0085
LINCSCP_203385	NA	5257	PHKB	2.182	0.0092
LINCSCP_203385	NA	8324	FZD7	-1.4046	0.0099
LINCSCP_203385	NA	230	ALDOC	-1.3008	0.0113
LINCSCP_203385	NA	25976	TIPARP	-1.4458	0.0116
LINCSCP_203385	NA	1647	GADD45A	1.7736	0.0117
LINCSCP_203385	NA	27242	TNFRSF21	1.3048	0.0122
LINCSCP_203385	NA	665	BNIP3L	-1.7974	0.0148
LINCSCP_203385	NA	8312	AXIN1	1.2778	0.0151
LINCSCP_203385	NA	10523	CHERP	-1.2332	0.0152
LINCSCP_203385	NA	51056	LAP3	1.3541	0.016
LINCSCP_203385	NA	7376	NR1H2	1.497	0.0183
LINCSCP_203385	NA	22809	ATF5	-1.23	0.0196
LINCSCP_203385	NA	55179	FAIM	1.3172	0.02
LINCSCP_203385	NA	51070	NOSIP	-1.6341	0.0209
LINCSCP_203385	NA	51203	NUSAP1	1.1849	0.0209
LINCSCP_203385	NA	4043	LRPAP1	-1.2531	0.021
LINCSCP_203385	NA	5654	HTRA1	-1.385	0.0215
LINCSCP_203385	NA	9801	MRPL19	-1.4728	0.022
LINCSCP_203385	NA	8835	SOCS2	2.8753	0.0222
LINCSCP_203385	NA	1070	CETN3	-1.3632	0.0223
LINCSCP_203385	NA	10953	TOMM34	-1.2006	0.0223
LINCSCP_203385	NA	200734	SPRED2	1.0886	0.0241
LINCSCP_203385	NA	10617	STAMBP	-1.1917	0.0242
LINCSCP_203385	NA	57149	LYRM1	-1.1242	0.0244
LINCSCP_203385	NA	1123	CHN1	1.2784	0.0248
LINCSCP_203385	NA	3454	IFNAR1	1.1414	0.0256
LINCSCP_203385	NA	6657	SOX2	1.2779	0.0279
LINCSCP_203385	NA	2886	GRB7	1.0304	0.0281
LINCSCP_203385	NA	6676	SPAG4	-1.1921	0.0286
LINCSCP_203385	NA	5048	PAFAH1B1	1.2499	0.0288
LINCSCP_203385	NA	5641	LGMN	-1.086	0.0288
LINCSCP_203385	NA	11031	RAB31	-1.0215	0.029
LINCSCP_203385	NA	4303	FOXO4	-1.2141	0.0293
LINCSCP_203385	NA	200081	TXLNA	-1.2114	0.0296
LINCSCP_203385	NA	55893	ZNF395	0.9993	0.0306
LINCSCP_203385	NA	29937	NENF	-1.4492	0.0313
LINCSCP_203385	NA	6714	SRC	1.6873	0.0314
LINCSCP_203385	NA	7852	CXCR4	1.0013	0.0316
LINCSCP_203385	NA	1848	DUSP6	-1.0451	0.0322
LINCSCP_203385	NA	27244	SESN1	-1.1045	0.0331
LINCSCP_203385	NA	10221	TRIB1	0.9915	0.034
LINCSCP_203385	NA	1831	TSC22D3	-1.0145	0.0342
LINCSCP_203385	NA	4783	NFIL3	1.8417	0.0347
LINCSCP_203385	NA	29103	DNAJC15	-1.6627	0.0354
LINCSCP_203385	NA	128	ADH5	-1.6925	0.0355
LINCSCP_203385	NA	5889	RAD51C	1.6687	0.036
LINCSCP_203385	NA	6050	RNH1	0.9647	0.0386
LINCSCP_203385	NA	51385	ZNF589	-0.9748	0.0392
LINCSCP_203385	NA	8553	BHLHE40	-0.9001	0.0404
LINCSCP_203385	NA	51282	SCAND1	-0.9046	0.0405
LINCSCP_203385	NA	7319	UBE2A	-0.9267	0.0411
LINCSCP_203385	NA	11007	CCDC85B	-0.9011	0.0413
LINCSCP_203385	NA	23038	WDTC1	-0.8905	0.0423
LINCSCP_203385	NA	4925	NUCB2	-0.9669	0.0431
LINCSCP_203385	NA	1786	DNMT1	1.3213	0.0432
LINCSCP_203385	NA	4172	MCM3	1.4341	0.0435
LINCSCP_203385	NA	79006	METRN	-0.9351	0.0436
LINCSCP_203385	NA	9710	KIAA0355	1.034	0.0437
LINCSCP_203385	NA	64781	CERK	1.0885	0.0437
LINCSCP_203385	NA	56924	PAK6	-0.9089	0.0439
LINCSCP_203385	NA	10668	CGRRF1	-1.2152	0.0453
LINCSCP_203385	NA	2736	GLI2	2.0989	0.0454
LINCSCP_203385	NA	11142	PKIG	-0.8908	0.0462
LINCSCP_203385	NA	5788	PTPRC	1.4503	0.047
LINCSCP_203385	NA	54505	DHX29	-1.007	0.0475
LINCSCP_203385	NA	7088	TLE1	-3.3957	0.0479
LINCSCP_203385	NA	10776	ARPP19	-1.2585	0.0485
LINCSCP_203385	NA	8508	NIPSNAP1	-1.082	0.0489
LINCSCP_203385	NA	9917	FAM20B	1.0136	0.0493
LINCSCP_203385	NA	11073	TOPBP1	1.024	0.0503
LINCSCP_203385	NA	2956	MSH6	-0.9397	0.0516
LINCSCP_203385	NA	11230	PRAF2	-0.8746	0.0522
LINCSCP_203385	NA	51031	GLOD4	-0.9342	0.0522
LINCSCP_203385	NA	896	CCND3	-1.3809	0.0526
LINCSCP_203385	NA	7994	KAT6A	1.3769	0.053
LINCSCP_203385	NA	5373	PMM2	0.9159	0.0533
LINCSCP_203385	NA	6597	SMARCA4	-1.1662	0.0535
LINCSCP_203385	NA	3308	HSPA4	0.8268	0.0543
LINCSCP_203385	NA	10329	TMEM5	-1.257	0.0544
LINCSCP_203385	NA	51097	SCCPDH	-1.0871	0.0545
LINCSCP_203385	NA	23013	SPEN	1.1285	0.0546
LINCSCP_203385	NA	10682	EBP	-0.9936	0.0547
LINCSCP_203385	NA	27346	TMEM97	-0.9793	0.0551
LINCSCP_203385	NA	7982	ST7	-1.1354	0.0564
LINCSCP_203385	NA	847	CAT	-1.5583	0.0572
LINCSCP_203385	NA	54442	KCTD5	3.1502	0.0576
LINCSCP_203385	NA	6390	SDHB	-0.9244	0.0579
LINCSCP_203385	NA	8826	IQGAP1	0.8935	0.0579
LINCSCP_203385	NA	5721	PSME2	1.2645	0.0584
LINCSCP_203385	NA	5792	PTPRF	0.8397	0.0586
LINCSCP_203385	NA	3202	HOXA5	-0.9419	0.059
LINCSCP_203385	NA	2131	EXT1	0.8088	0.0592
LINCSCP_203385	NA	10049	DNAJB6	1.5052	0.0594
LINCSCP_203385	NA	4780	NFE2L2	0.8123	0.0601
LINCSCP_203385	NA	79080	CCDC86	0.8513	0.0601
LINCSCP_203385	NA	147179	WIPF2	-0.8345	0.0603
LINCSCP_203385	NA	958	CD40	1.0713	0.0603
LINCSCP_203385	NA	80347	COASY	-0.8285	0.0613
LINCSCP_203385	NA	5710	PSMD4	-0.911	0.0613
LINCSCP_203385	NA	6793	STK10	1.0406	0.0625
LINCSCP_203385	NA	9212	AURKB	1.4299	0.0643
LINCSCP_203385	NA	47	ACLY	-0.9478	0.0649
LINCSCP_203385	NA	5982	RFC2	-1.6529	0.0655
LINCSCP_203385	NA	50813	COPS7A	0.7793	0.0663
LINCSCP_203385	NA	10206	TRIM13	2.0652	0.0668
LINCSCP_203385	NA	10057	ABCC5	0.7767	0.0673
LINCSCP_203385	NA	1845	DUSP3	-0.8861	0.0678
LINCSCP_203385	NA	5927	KDM5A	-0.8126	0.0678
LINCSCP_203385	NA	30001	ERO1L	-0.7757	0.068
LINCSCP_203385	NA	4793	NFKBIB	-0.7772	0.0682
LINCSCP_203385	NA	10898	CPSF4	1.272	0.0683
LINCSCP_203385	NA	9709	HERPUD1	-1.4419	0.0686
LINCSCP_203385	NA	5782	PTPN12	-1.0389	0.0686
LINCSCP_203385	NA	5796	PTPRK	0.8215	0.0698
LINCSCP_203385	NA	23443	SLC35A3	-0.9641	0.0702
LINCSCP_203385	NA	8731	RNMT	-1.1383	0.0702
LINCSCP_203385	NA	7153	TOP2A	-0.9946	0.0706
LINCSCP_203385	NA	51015	ISOC1	0.9792	0.0721
LINCSCP_203385	NA	51053	GMNN	1.0576	0.0722
LINCSCP_203385	NA	1029	CDKN2A	1.3567	0.0725
LINCSCP_203385	NA	9552	SPAG7	1.1373	0.0729
LINCSCP_203385	NA	29890	RBM15B	1.355	0.0735
LINCSCP_203385	NA	54499	TMCO1	-0.7564	0.0756
LINCSCP_203385	NA	960	CD44	0.7726	0.0758
LINCSCP_203385	NA	23011	RAB21	1.0091	0.0762
LINCSCP_203385	NA	10810	WASF3	-0.7551	0.0763
LINCSCP_203385	NA	79071	ELOVL6	-1.1287	0.0771
LINCSCP_203385	NA	26993	AKAP8L	-0.8489	0.0772
LINCSCP_203385	NA	55556	ENOSF1	-0.7491	0.0774
LINCSCP_203385	NA	6944	VPS72	0.7833	0.0781
LINCSCP_203385	NA	642	BLMH	-0.8874	0.0781
LINCSCP_203385	NA	91137	SLC25A46	-1.2203	0.0782
