perturbagen,treatment,cellline,similarity
Bupropion,TLR9,HA1E,0.6319
Bupropion,CEACAM1,HA1E,0.6362
Bupropion,CCL20,HA1E,0.5895
Bupropion,IL6,HA1E,-0.5782
Bupropion,TGFB1,HA1E,0.5543
Bupropion,IL2,HA1E,0.5647
Bupropion,MMEL1,HA1E,0.5556
Bupropion,DPP4,HA1E,0.4401
Carbetocin,IL6,HA1E,0.7417
Carbetocin,ARG1,HA1E,-0.6181
Carbetocin,TLR9,HA1E,-0.5912
Carbetocin,IL2,HA1E,-0.5644
Carbetocin,TGFB1,HA1E,-0.5532
Carbetocin,CEACAM1,HA1E,-0.542
Carbetocin,CCL20,HA1E,-0.5324
Chloroquine,IL1B,HA1E,0.5877
Chloroquine,TLR9,HA1E,0.6381
Chloroquine,IL6R,HA1E,0.5543
Chloroquine,IL6,HA1E,0.634
Chloroquine,CD83,HA1E,-0.6181
Chloroquine,CD19,HA1E,0.5517
Desmopressin,CD19,HA1E,-0.3379
Desmopressin,MMEL1,HA1E,0.3615
Lopinavir,CD83,HA1E,0.5465
Lopinavir,CD19,HA1E,0.5852
Lopinavir,IL6R,HA1E,0.5377
Lopinavir,MMEL1,HA1E,0.51
Lopinavir,IL6,HA1E,0.6681
Lopinavir,TLR9,HA1E,-0.5979
Lopinavir,CCL20,HA1E,-0.5605
Benazepril,MMEL1,HA1E,0.4087
Benazepril,TLR7,HA1E,0.6426
Benazepril,ARG1,HA1E,0.633
Benazepril,CEACAM1,HA1E,0.5877
Benazepril,TLR9,HA1E,0.5467
Captopril,IL6,HA1E,0.669
Captopril,IL6R,HA1E,0.5329
Captopril,IL1B,HA1E,0.3432
Captopril,DPP4,HA1E,0.3419
Captopril,CD19,HA1E,-0.2743
Enalapril,HEY1,HA1E,0.4673
Enalapril,MMEL1,HA1E,0.5704
Enalapril,CCL20,HA1E,-0.5444
Enalapril,TLR9,HA1E,0.5687
Enalapril,TGFB1,HA1E,0.5467
Enalapril,IL6,HA1E,0.6952
Enalapril,IL6R,HA1E,0.5889
Enalapril,CD19,HA1E,0.5795
Enalapril,IL1B,HA1E,0.4763
Fosinopril,TGFB1,HA1E,-0.4146
Fosinopril,IL6R,HA1E,0.4779
Fosinopril,TLR9,HA1E,0.5017
Fosinopril,IL1B,HA1E,0.5054
Fosinopril,IL6,HA1E,0.6454
Fosinopril,MMEL1,HA1E,0.5654
Fosinopril,CD19,HA1E,0.5333
Lisinopril,TNF,HA1E,-0.5671
Lisinopril,CCL20,HA1E,0.5344
Lisinopril,ARG1,HA1E,0.601
Lisinopril,IL6,HA1E,-0.5781
Lisinopril,CEACAM1,HA1E,0.5864
Lisinopril,CD19,HA1E,-0.448
Lisinopril,TLR9,HA1E,0.6054
Lisinopril,CD83,HA1E,0.5814
Lisinopril,TGFB1,HA1E,0.5787
Moexipril,IL6R,HA1E,0.4607
Moexipril,IL6,HA1E,0.6033
Moexipril,CD19,HA1E,0.4883
Moexipril,MMEL1,HA1E,0.4393
Moexipril,CEACAM1,HA1E,0.6352
Moexipril,TLR9,HA1E,0.6342
Moexipril,CCL20,HA1E,0.501
Olmesartan,CEACAM1,HA1E,0.6661
Olmesartan,CCL20,HA1E,0.567
Olmesartan,CD19,HA1E,-0.51
Olmesartan,TGFB1,HA1E,0.5815
Olmesartan,IL6,HA1E,-0.7271
Olmesartan,TLR9,HA1E,0.639
Perindopril,MMEL1,HA1E,0.5261
Perindopril,CCL20,HA1E,0.464
Perindopril,IL1B,HA1E,0.4785
Perindopril,TNF,HA1E,0.6888
Perindopril,IL6,HA1E,0.6697
Perindopril,CD83,HA1E,0.5842
Perindopril,TGFB1,HA1E,0.5251
Perindopril,TLR9,HA1E,0.5223
Quinapril,ARG1,HA1E,0.5953
Quinapril,IL6,HA1E,-0.5652
Quinapril,LAP3,HA1E,0.5462
Quinapril,TLR9,HA1E,0.5223
Quinapril,CD19,HA1E,-0.52
Quinapril,ANPEP,HA1E,0.4902
Quinapril,MMEL1,HA1E,0.4357
Quinapril,IL2,HA1E,0.5613
Ramipril,IL6,HA1E,0.5307
Ramipril,IL6R,HA1E,0.4893
Ramipril,MMEL1,HA1E,0.4791
Ramipril,TLR9,HA1E,0.5489
Telmisartan,CXCL2,HA1E,0.5564
Telmisartan,IL6,HA1E,0.6184
Telmisartan,IL6R,HA1E,0.5448
Telmisartan,CD83,HA1E,0.5901
Telmisartan,TLR9,HA1E,0.5867
Telmisartan,TGFB1,HA1E,0.5226
Telmisartan,CCL20,HA1E,0.497
Valsartan,CEACAM1,HA1E,0.6199
Valsartan,IL1B,HA1E,0.4261
Valsartan,IL6,HA1E,0.6727
Valsartan,IL6R,HA1E,0.5232
Valsartan,CD83,HA1E,0.6382
Valsartan,ARG1,HA1E,0.6265
Valsartan,TLR9,HA1E,0.6187
Valsartan,CCL20,HA1E,0.604
Valsartan,TGFB1,HA1E,0.582
Hydroxychloroquine,AGT,HA1E,0.2618
Hydroxychloroquine,TLR7,HA1E,0.4071
Hydroxychloroquine,IL6,HA1E,-0.351
Hydroxychloroquine,CCL20,HA1E,0.3103
Hydroxychloroquine,ARG1,HA1E,-0.558
Hydroxychloroquine,IL6R,HA1E,0.5236
Hydroxychloroquine,TLR9,HA1E,-0.5024
