similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.3886	1.1364e-9	229	CD19	CGS001-930	96 h	LINCSKD_14975	HEPG2	LINCSCP_138207
0.2798	0	229	CD81	CGS001-975	96 h	LINCSKD_496	A375	LINCSCP_138207
0.2583	1e-4	229	CD44	CGS001-960	96 h	LINCSKD_4155	A549	LINCSCP_138207
0.2467	2e-4	229	IL1B	CGS001-3553	96 h	LINCSKD_9587	HA1E	LINCSCP_138207
0.2448	2e-4	229	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_138207
0.2416	2e-4	229	ARG1	CGS001-383	96 h	LINCSKD_24665	NPC	LINCSCP_138207
0.2388	3e-4	229	CD83	CGS001-9308	96 h	LINCSKD_4161	A549	LINCSCP_138207
0.234	4e-4	229	TLR9	CGS001-54106	96 h	LINCSKD_13861	HCC515	LINCSCP_138207
0.2289	5e-4	229	CTLA4	CGS001-1493	96 h	LINCSKD_18501	HT29	LINCSCP_138207
0.2284	5e-4	229	TLR7	CGS001-51284	96 h	LINCSKD_11278	HA1E	LINCSCP_138207
0.2253	6e-4	229	CD46	CGS001-4179	96 h	LINCSKD_4156	A549	LINCSCP_138207
0.2234	7e-4	229	CD46	CGS001-4179	96 h	LINCSKD_12029	HCC515	LINCSCP_138207
0.2185	9e-4	229	CD40	CGS001-958	96 h	LINCSKD_22487	MCF7	LINCSCP_138207
0.2136	0.0011	229	CD44	CGS001-960	96 h	LINCSKD_24747	NPC	LINCSCP_138207
0.2112	0.0013	229	CD19	CGS001-930	96 h	LINCSKD_482	A375	LINCSCP_138207
0.2046	0.0019	229	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_138207
